"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 01- 26","58.16","60.23","60.62","57.71","775.28K","-4.17%"
"2020- 01- 19","60.69","65.98","66.00","60.25","1.30M","-6.41%"
"2020- 01- 12","64.85","65.13","65.60","63.55","1.22M","-0.20%"
"2020- 01- 05","64.98","69.35","71.75","64.56","1.82M","-5.28%"
"2019- 12- 29","68.60","68.20","69.50","65.63","885.81K","0.65%"
"2019- 12- 22","68.16","66.15","68.33","65.81","419.89K","3.05%"
"2019- 12- 15","66.14","65.05","66.78","64.88","1.16M","1.41%"
"2019- 12- 08","65.22","64.29","65.79","63.01","1.20M","1.29%"
"2019- 12- 01","64.39","60.73","64.88","60.30","1.47M","3.14%"
"2019- 11- 24","62.43","63.60","64.60","62.36","634.35K","-1.51%"
"2019- 11- 17","63.39","63.36","64.27","60.30","1.42M","0.14%"
"2019- 11- 10","63.30","62.60","63.65","61.22","1.21M","1.26%"
"2019- 11- 03","62.51","61.80","63.32","60.66","1.29M","1.33%"
"2019- 10- 27","61.69","62.04","62.34","59.40","660.65K","-0.53%"
"2019- 10- 20","62.02","59.23","62.11","58.26","1.21M","4.38%"
"2019- 10- 13","59.42","60.69","60.73","58.00","1.34M","-1.80%"
"2019- 10- 06","60.51","58.02","60.69","57.38","1.40M","3.67%"
"2019- 09- 29","58.37","62.24","62.24","56.15","1.26M","-5.72%"
"2019- 09- 22","61.91","65.23","65.50","60.76","835.42K","-3.69%"
"2019- 09- 15","64.28","66.45","71.95","63.04","2.13M","6.74%"
"2019- 09- 08","60.22","61.60","63.78","58.92","1.39M","-2.14%"
"2019- 09- 01","61.54","58.80","62.40","57.23","1.25M","1.84%"
"2019- 08- 25","60.43","58.35","61.19","58.24","692.16K","1.84%"
"2019- 08- 18","59.34","58.72","61.41","58.30","1.32M","1.19%"
"2019- 08- 11","58.64","58.30","61.50","57.67","1.39M","0.19%"
"2019- 08- 04","58.53","61.46","61.56","55.88","1.77M","-5.43%"
"2019- 07- 28","61.89","63.32","65.42","60.02","1.00M","-2.47%"
"2019- 07- 21","63.46","63.05","64.66","62.59","1.17M","1.58%"
"2019- 07- 14","62.47","66.87","67.47","61.29","1.59M","-6.37%"
"2019- 07- 07","66.72","64.34","67.65","63.76","1.39M","3.88%"
"2019- 06- 30","64.23","65.05","66.75","62.09","1.35M","-3.49%"
"2019- 06- 23","66.55","65.50","66.85","64.08","702.97K","2.07%"
"2019- 06- 16","65.20","62.07","65.76","60.25","1.54M","5.14%"
"2019- 06- 09","62.01","63.58","64.10","59.57","1.62M","-2.02%"
"2019- 06- 02","63.29","61.64","63.59","59.45","1.84M","-1.86%"
"2019- 05- 26","64.49","69.15","70.59","64.37","586.55K","-6.11%"
"2019- 05- 19","68.69","72.50","73.40","67.02","1.70M","-4.87%"
"2019- 05- 12","72.21","70.83","73.36","69.72","1.53M","2.25%"
"2019- 05- 05","70.62","70.59","71.79","68.79","1.48M","-0.32%"
"2019- 04- 28","70.85","71.56","73.27","69.68","999.99K","-1.80%"
"2019- 04- 21","72.15","71.93","75.60","71.30","1.42M","0.25%"
"2019- 04- 14","71.97","71.55","72.27","70.74","1.03M","0.59%"
"2019- 04- 07","71.55","70.56","71.87","70.30","1.36M","1.72%"
"2019- 03- 31","70.34","67.58","70.48","67.58","1.51M","2.85%"
"2019- 03- 24","68.39","67.00","68.89","66.36","714.71K","2.03%"
"2019- 03- 17","67.03","67.14","68.69","66.20","1.27M","-0.19%"
"2019- 03- 10","67.16","65.76","68.14","65.63","1.23M","2.16%"
"2019- 03- 03","65.74","64.97","67.00","64.02","1.33M","1.03%"
"2019- 02- 24","65.07","66.97","67.47","64.32","767.53K","-3.05%"
"2019- 02- 17","67.12","66.39","67.73","65.58","1.12M","1.31%"
"2019- 02- 10","66.25","62.11","66.39","60.90","1.41M","6.68%"
"2019- 02- 03","62.10","62.83","63.63","60.60","1.28M","-1.04%"
"2019- 01- 27","62.75","61.49","62.97","59.49","735.10K","1.80%"
"2019- 01- 20","61.64","62.74","63.15","60.21","1.22M","-1.69%"
"2019- 01- 13","62.70","60.62","63.00","58.90","1.38M","3.67%"
"2019- 01- 06","60.48","57.41","62.49","57.13","1.51M","5.99%"
"2018- 12- 30","57.06","53.00","58.31","52.51","1.01M","9.31%"
"2018- 12- 23","52.20","53.49","55.29","49.93","272.92K","-3.01%"
"2018- 12- 16","53.82","60.25","61.21","52.79","1.49M","-10.72%"
"2018- 12- 09","60.28","61.34","62.33","59.33","1.21M","-2.25%"
"2018- 12- 02","61.67","59.98","63.73","58.36","1.65M","5.04%"
"2018- 11- 25","58.71","58.98","61.40","57.50","810.95K","-0.15%"
"2018- 11- 18","58.80","66.99","67.64","58.41","1.46M","-11.92%"
"2018- 11- 11","66.76","70.69","71.88","64.61","1.79M","-4.87%"
"2018- 11- 04","70.18","72.85","74.13","69.13","1.53M","-3.64%"
"2018- 10- 28","72.83","77.64","78.03","72.16","940.86K","-6.17%"
"2018- 10- 21","77.62","80.11","80.41","75.11","1.60M","-2.71%"
"2018- 10- 14","79.78","81.00","81.92","78.69","1.60M","-0.81%"
"2018- 10- 07","80.43","84.17","85.45","79.23","1.82M","-4.43%"
"2018- 09- 30","84.16","82.79","86.74","82.55","1.62M","1.74%"
"2018- 09- 23","82.72","78.97","82.87","78.97","757.93K","4.97%"
"2018- 09- 16","78.80","78.07","80.12","77.46","1.34M","0.91%"
"2018- 09- 09","78.09","77.08","80.13","76.90","1.40M","1.64%"
"2018- 09- 02","76.83","77.69","79.72","75.64","1.19M","-0.76%"
"2018- 08- 26","77.42","75.54","78.03","75.39","527.23K","2.11%"
"2018- 08- 19","75.82","71.77","76.42","71.42","1.19M","5.55%"
"2018- 08- 12","71.83","73.00","73.93","70.30","1.21M","-1.35%"
"2018- 08- 05","72.81","73.21","74.90","71.40","1.12M","-0.55%"
"2018- 07- 29","73.21","74.31","75.27","71.84","788.75K","-1.45%"
"2018- 07- 22","74.29","73.22","74.85","72.52","1.05M","1.67%"
"2018- 07- 15","73.07","74.92","75.37","71.19","1.45M","-3.00%"
"2018- 07- 08","75.33","77.21","79.51","72.67","1.75M","-2.31%"
"2018- 07- 01","77.11","78.55","78.95","76.36","1.21M","-2.93%"
"2018- 06- 24","79.44","74.80","79.70","73.74","891.38K","5.15%"
"2018- 06- 17","75.55","73.06","75.86","72.45","1.76M","2.87%"
"2018- 06- 10","73.44","76.30","77.07","73.00","1.35M","-3.95%"
"2018- 06- 03","76.46","76.66","77.61","73.81","1.67M","-0.43%"
"2018- 05- 27","76.79","76.11","78.75","74.49","622.91K","0.46%"
"2018- 05- 20","76.44","78.61","80.49","76.01","1.35M","-2.64%"
"2018- 05- 13","78.51","77.05","80.50","76.55","1.63M","1.80%"
"2018- 05- 06","77.12","75.00","78.00","73.10","1.69M","3.01%"
"2018- 04- 29","74.87","74.62","75.41","72.38","1.40M","0.31%"
"2018- 04- 22","74.64","73.77","75.47","73.13","1.26M","0.78%"
"2018- 04- 15","74.06","72.70","74.75","70.83","1.73M","2.04%"
"2018- 04- 08","72.58","67.10","73.09","67.00","1.86M","8.15%"
"2018- 04- 01","67.11","69.32","70.04","66.69","1.35M","-4.50%"
"2018- 03- 25","70.27","70.43","71.05","68.78","482.26K","-0.26%"
"2018- 03- 18","70.45","66.01","70.57","65.39","1.57M","6.40%"
"2018- 03- 11","66.21","65.50","66.42","64.05","1.30M","1.10%"
"2018- 03- 04","65.49","64.65","66.16","63.43","1.38M","1.74%"
"2018- 02- 25","64.37","67.29","67.90","63.19","929.38K","-4.37%"
"2018- 02- 18","67.31","64.96","67.37","64.40","1.12M","3.81%"
"2018- 02- 11","64.84","62.50","65.22","61.76","1.60M","3.26%"
"2018- 02- 04","62.79","68.15","68.46","61.77","1.98M","-8.44%"
"2018- 01- 28","68.58","70.47","70.64","67.96","1.00M","-2.75%"
"2018- 01- 21","70.52","68.80","71.28","68.39","1.43M","2.78%"
"2018- 01- 14","68.61","69.88","70.37","68.28","1.33M","-1.80%"
"2018- 01- 07","69.87","67.80","70.05","67.44","1.46M","3.33%"
"2017- 12- 31","67.62","66.55","68.27","66.24","902.20K","1.12%"
"2017- 12- 24","66.87","65.20","67.10","65.00","389.71K","2.48%"
"2017- 12- 17","65.25","63.36","65.28","63.00","936.37K","3.19%"
"2017- 12- 10","63.23","63.29","65.83","62.01","1.84M","-0.27%"
"2017- 12- 03","63.40","63.50","63.68","61.13","1.39M","-0.52%"
"2017- 11- 26","63.73","63.80","64.32","62.50","948.58K","-0.20%"
"2017- 11- 19","63.86","62.80","63.95","61.44","1.21M","1.82%"
"2017- 11- 12","62.72","63.68","63.77","61.08","1.70M","-1.26%"
"2017- 11- 05","63.52","62.27","64.65","62.08","1.79M","2.34%"
"2017- 10- 29","62.07","60.66","62.23","60.00","1.10M","2.70%"
"2017- 10- 22","60.44","57.95","60.65","57.04","1.39M","4.66%"
"2017- 10- 15","57.75","57.28","58.54","56.60","1.88M","1.01%"
